Date : 2026-03-25 15:09:01
Directory : /home/samnang/Documents/apsor-frontend/src
Total : 110 files,  21540 codes, 38 comments, 2186 blanks, all 23764 lines

Languages
+----------------+------------+------------+------------+------------+------------+
| language       | files      | code       | comment    | blank      | total      |
+----------------+------------+------------+------------+------------+------------+
| JavaScript JSX |         79 |     17,840 |         30 |      1,753 |     19,623 |
| JavaScript     |         29 |      3,598 |          8 |        409 |      4,015 |
| PostCSS        |          2 |        102 |          0 |         24 |        126 |
+----------------+------------+------------+------------+------------+------------+

Directories
+----------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                         | files      | code       | comment    | blank      | total      |
+----------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                            |        110 |     21,540 |         38 |      2,186 |     23,764 |
| . (Files)                                                                                    |          4 |        231 |          1 |         44 |        276 |
| admin                                                                                        |         36 |      6,202 |          6 |        630 |      6,838 |
| admin (Files)                                                                                |          1 |         22 |          4 |         12 |         38 |
| admin/components                                                                             |         14 |      2,318 |          2 |        190 |      2,510 |
| admin/data                                                                                   |          1 |         19 |          0 |          1 |         20 |
| admin/pages                                                                                  |         11 |      3,199 |          0 |        364 |      3,563 |
| admin/protected                                                                              |          1 |         36 |          0 |         10 |         46 |
| admin/utils                                                                                  |          8 |        608 |          0 |         53 |        661 |
| api                                                                                          |          2 |      1,029 |          3 |        184 |      1,216 |
| components                                                                                   |         28 |      2,969 |         23 |        317 |      3,309 |
| components/auth                                                                              |          2 |        185 |          0 |         14 |        199 |
| components/categories                                                                        |          3 |        128 |          0 |         13 |        141 |
| components/provider                                                                          |          1 |         25 |          0 |          2 |         27 |
| components/services                                                                          |         12 |        995 |          0 |        122 |      1,117 |
| components/services (Files)                                                                  |          8 |        914 |          0 |        113 |      1,027 |
| components/services/upload                                                                   |          4 |         81 |          0 |          9 |         90 |
| components/shared                                                                            |         10 |      1,636 |         23 |        166 |      1,825 |
| data                                                                                         |          5 |        854 |          0 |          5 |        859 |
