"filename", "language", "JavaScript JSX", "JavaScript", "comment", "blank", "total"
"/home/samnang/Documents/apsor-frontend/src/App.jsx", "JavaScript JSX", 20, 0, 0, 4, 24
"/home/samnang/Documents/apsor-frontend/src/admin/components/SidebarPage.jsx", "JavaScript JSX", 19, 0, 0, 0, 19
"/home/samnang/Documents/apsor-frontend/src/admin/components/SubcategoryFormModal.jsx", "JavaScript JSX", 42, 0, 0, 0, 42
"/home/samnang/Documents/apsor-frontend/src/admin/components/TopHeader.jsx", "JavaScript JSX", 6, 0, 0, 0, 6
"/home/samnang/Documents/apsor-frontend/src/admin/pages/AdminAuditLogsPage.jsx", "JavaScript JSX", 380, 0, 0, 27, 407
"/home/samnang/Documents/apsor-frontend/src/admin/pages/AdminCategoriesPage.jsx", "JavaScript JSX", 4, 0, 0, 0, 4
"/home/samnang/Documents/apsor-frontend/src/admin/pages/AdminDashboardPage.jsx", "JavaScript JSX", 12, 0, 0, 0, 12
"/home/samnang/Documents/apsor-frontend/src/admin/pages/AdminOrdersPage.jsx", "JavaScript JSX", 182, 0, 0, 23, 205
"/home/samnang/Documents/apsor-frontend/src/admin/pages/AdminSubcategoriesPage.jsx", "JavaScript JSX", 66, 0, 0, 0, 66
"/home/samnang/Documents/apsor-frontend/src/admin/pages/ProviderOrdersPage.jsx", "JavaScript JSX", 188, 0, 0, 23, 211
"/home/samnang/Documents/apsor-frontend/src/admin/utils/adminAccess.js", "JavaScript", 0, 1, 0, 0, 1
"/home/samnang/Documents/apsor-frontend/src/admin/utils/adminDashboardPage.js", "JavaScript", 0, 9, 0, 0, 9
"/home/samnang/Documents/apsor-frontend/src/admin/utils/adminSubcategoryPage.js", "JavaScript", 0, 8, 0, 0, 8
"/home/samnang/Documents/apsor-frontend/src/api/api.js", "JavaScript", 0, 77, 0, 15, 92
"/home/samnang/Documents/apsor-frontend/src/api/index.js", "JavaScript", 0, 191, 0, 31, 222
"/home/samnang/Documents/apsor-frontend/src/components/services/ServiceProviderInfo.jsx", "JavaScript JSX", 8, 0, 0, 1, 9
"/home/samnang/Documents/apsor-frontend/src/components/shared/Header.jsx", "JavaScript JSX", 101, 0, 8, 11, 120
"/home/samnang/Documents/apsor-frontend/src/components/shared/Search.jsx", "JavaScript JSX", 48, 0, 0, 8, 56
"/home/samnang/Documents/apsor-frontend/src/helper/tableColumn.jsx", "JavaScript JSX", 240, 0, 0, 7, 247
"/home/samnang/Documents/apsor-frontend/src/hooks/useOrders.js", "JavaScript", 0, 33, 0, 10, 43
"/home/samnang/Documents/apsor-frontend/src/page/auth/authStorage.js", "JavaScript", 0, 43, 0, 10, 53
"/home/samnang/Documents/apsor-frontend/src/page/order/OrderDetailPage.jsx", "JavaScript JSX", 81, 0, 0, 9, 90
"/home/samnang/Documents/apsor-frontend/src/page/order/OrdersPage.jsx", "JavaScript JSX", 39, 0, 0, 1, 40
"/home/samnang/Documents/apsor-frontend/src/page/payment/PaymentPage.jsx", "JavaScript JSX", 305, 0, 0, 26, 331
"/home/samnang/Documents/apsor-frontend/src/page/provider/ProviderDetailPage.jsx", "JavaScript JSX", 45, 0, 0, 8, 53
"/home/samnang/Documents/apsor-frontend/src/page/provider/ProviderProfilePage.jsx", "JavaScript JSX", 467, 0, 0, 48, 515
"/home/samnang/Documents/apsor-frontend/src/page/provider/ProviderServiceManagePage.jsx", "JavaScript JSX", 73, 0, 0, 10, 83
"/home/samnang/Documents/apsor-frontend/src/page/search/SearchRelatedPage.jsx", "JavaScript JSX", 31, 0, 0, 8, 39
"/home/samnang/Documents/apsor-frontend/src/page/service/ServiceFormPage.jsx", "JavaScript JSX", 1, 0, 0, 0, 1
"/home/samnang/Documents/apsor-frontend/src/utils/orders.js", "JavaScript", 0, 70, 0, 8, 78
"/home/samnang/Documents/apsor-frontend/src/utils/provider.js", "JavaScript", 0, 57, 0, 9, 66
"Total", "-", 2358, 489, 8, 297, 3152
