Date : 2026-03-12 17:08:22
Directory : /home/samnang/Documents/apsor-frontend/src
Total : 76 files,  29 codes, 4 comments, 392 blanks, all 425 lines

Languages
+----------------+------------+------------+------------+------------+------------+
| language       | files      | code       | comment    | blank      | total      |
| /home/samnang/Documents/apsor-frontend/src/api/index.js                                      | JavaScript     |        234 |          0 |         46 |        280 |
| /home/samnang/Documents/apsor-frontend/src/auth/ForgotPassword.jsx                           | JavaScript JSX |       -128 |          0 |        -13 |       -141 |
| /home/samnang/Documents/apsor-frontend/src/auth/ForgotPasswordOtp.jsx                        | JavaScript JSX |       -190 |          0 |        -21 |       -211 |
| /home/samnang/Documents/apsor-frontend/src/auth/ResetPassword.jsx                            | JavaScript JSX |       -178 |          0 |        -16 |       -194 |
| /home/samnang/Documents/apsor-frontend/src/auth/SignIn.jsx                                   | JavaScript JSX |       -201 |          0 |        -19 |       -220 |
| /home/samnang/Documents/apsor-frontend/src/auth/SignUp.jsx                                   | JavaScript JSX |       -608 |          0 |        -56 |       -664 |
| /home/samnang/Documents/apsor-frontend/src/category/CategoryDetailPage.jsx                   | JavaScript JSX |       -136 |          0 |        -12 |       -148 |
| /home/samnang/Documents/apsor-frontend/src/components/auth/AuthInput.jsx                     | JavaScript JSX |        130 |          0 |         11 |        141 |
| /home/samnang/Documents/apsor-frontend/src/components/categories/CategorySectionSkeleton.jsx | JavaScript JSX |         25 |          0 |          2 |         27 |
| /home/samnang/Documents/apsor-frontend/src/components/services/ServicePriceList.jsx          | JavaScript JSX |          5 |          0 |          0 |          5 |
| /home/samnang/Documents/apsor-frontend/src/components/shared/Category.jsx                    | JavaScript JSX |         14 |          0 |          1 |         15 |
| /home/samnang/Documents/apsor-frontend/src/components/shared/Header.jsx                      | JavaScript JSX |        113 |          0 |         12 |        125 |
| /home/samnang/Documents/apsor-frontend/src/components/shared/InputField.jsx                  | JavaScript JSX |        224 |          0 |         20 |        244 |
| /home/samnang/Documents/apsor-frontend/src/components/shared/Modal.jsx                       | JavaScript JSX |         95 |          0 |         12 |        107 |
| /home/samnang/Documents/apsor-frontend/src/helper/tableColumn.jsx                            | JavaScript JSX |        324 |          0 |          7 |        331 |
| /home/samnang/Documents/apsor-frontend/src/home/HomePage.jsx                                 | JavaScript JSX |        -15 |          0 |         -3 |        -18 |
| /home/samnang/Documents/apsor-frontend/src/hooks/useOrders.js                                | JavaScript     |          5 |          0 |          2 |          7 |
| /home/samnang/Documents/apsor-frontend/src/index.css                                         | PostCSS        |         27 |          0 |          4 |         31 |
| /home/samnang/Documents/apsor-frontend/src/layouts/RouteLayout.jsx                           | JavaScript JSX |          4 |          0 |          0 |          4 |
| /home/samnang/Documents/apsor-frontend/src/order/OrderDetailPage.jsx                         | JavaScript JSX |       -237 |          0 |        -16 |       -253 |
| /home/samnang/Documents/apsor-frontend/src/order/OrdersPage.jsx                              | JavaScript JSX |       -378 |          0 |        -27 |       -405 |
| /home/samnang/Documents/apsor-frontend/src/page/auth/ForgotPassword.jsx                      | JavaScript JSX |        128 |          0 |         13 |        141 |
| /home/samnang/Documents/apsor-frontend/src/page/auth/ForgotPasswordOtp.jsx                   | JavaScript JSX |        190 |          0 |         21 |        211 |
| /home/samnang/Documents/apsor-frontend/src/page/auth/ResetPassword.jsx                       | JavaScript JSX |        178 |          0 |         16 |        194 |
| /home/samnang/Documents/apsor-frontend/src/page/auth/SignIn.jsx                              | JavaScript JSX |        184 |          0 |         21 |        205 |
| /home/samnang/Documents/apsor-frontend/src/page/auth/SignUp.jsx                              | JavaScript JSX |        408 |          0 |         39 |        447 |
| /home/samnang/Documents/apsor-frontend/src/page/auth/authStorage.js                          | JavaScript     |        122 |          0 |         25 |        147 |
| /home/samnang/Documents/apsor-frontend/src/page/auth/signInText.js                           | JavaScript     |         46 |          0 |          1 |         47 |
| /home/samnang/Documents/apsor-frontend/src/page/auth/signInUtils.js                          | JavaScript     |         46 |          0 |         12 |         58 |
| /home/samnang/Documents/apsor-frontend/src/page/category/CategoryDetailPage.jsx              | JavaScript JSX |        141 |          0 |         11 |        152 |
| /home/samnang/Documents/apsor-frontend/src/page/home/HomePage.jsx                            | JavaScript JSX |         15 |          0 |          3 |         18 |
| /home/samnang/Documents/apsor-frontend/src/page/order/OrderDetailPage.jsx                    | JavaScript JSX |        259 |          0 |         16 |        275 |
| /home/samnang/Documents/apsor-frontend/src/page/order/OrdersPage.jsx                         | JavaScript JSX |        392 |          0 |         28 |        420 |
| /home/samnang/Documents/apsor-frontend/src/page/payment/PaymentPage.jsx                      | JavaScript JSX |        182 |          0 |         19 |        201 |
| /home/samnang/Documents/apsor-frontend/src/page/profile/ProfilePage.jsx                      | JavaScript JSX |        272 |          0 |         28 |        300 |
| /home/samnang/Documents/apsor-frontend/src/page/provider/BecomeProviderPage.jsx              | JavaScript JSX |        512 |          0 |         57 |        569 |
| /home/samnang/Documents/apsor-frontend/src/page/provider/ProviderDetailPage.jsx              | JavaScript JSX |        530 |          0 |         44 |        574 |
| /home/samnang/Documents/apsor-frontend/src/page/provider/ProviderServiceManagePage.jsx       | JavaScript JSX |        364 |          0 |         30 |        394 |
| /home/samnang/Documents/apsor-frontend/src/page/search/SearchRelatedPage.jsx                 | JavaScript JSX |        320 |          0 |         37 |        357 |
| /home/samnang/Documents/apsor-frontend/src/page/service/EditServicePage.jsx                  | JavaScript JSX |          4 |          0 |          2 |          6 |
| /home/samnang/Documents/apsor-frontend/src/page/service/ServiceDetailPage.jsx                | JavaScript JSX |         94 |          0 |         15 |        109 |
| /home/samnang/Documents/apsor-frontend/src/page/service/UploadServicePage.jsx                | JavaScript JSX |      2,096 |          0 |        203 |      2,299 |
| /home/samnang/Documents/apsor-frontend/src/profile/ProfilePage.jsx                           | JavaScript JSX |       -260 |          0 |        -25 |       -285 |
| /home/samnang/Documents/apsor-frontend/src/provider/BecomeProviderPage.jsx                   | JavaScript JSX |       -512 |          0 |        -57 |       -569 |
| /home/samnang/Documents/apsor-frontend/src/provider/ProviderDetailPage.jsx                   | JavaScript JSX |       -530 |          0 |        -44 |       -574 |
| /home/samnang/Documents/apsor-frontend/src/provider/ProviderServiceManagePage.jsx            | JavaScript JSX |       -364 |          0 |        -30 |       -394 |
| /home/samnang/Documents/apsor-frontend/src/search/SearchRelatedPage.jsx                      | JavaScript JSX |       -320 |          0 |        -37 |       -357 |
| /home/samnang/Documents/apsor-frontend/src/service/EditServicePage.jsx                       | JavaScript JSX |         -4 |          0 |         -2 |         -6 |
| /home/samnang/Documents/apsor-frontend/src/service/ServiceDetailPage.jsx                     | JavaScript JSX |        -94 |          0 |        -15 |       -109 |
| /home/samnang/Documents/apsor-frontend/src/service/UploadServicePage.jsx                     | JavaScript JSX |     -2,098 |          0 |       -203 |     -2,301 |
| /home/samnang/Documents/apsor-frontend/src/store/useCategoryStore.js                         | JavaScript     |         54 |          0 |         10 |         64 |
| /home/samnang/Documents/apsor-frontend/src/utils/assets.js                                   | JavaScript     |         26 |          0 |          8 |         34 |
| /home/samnang/Documents/apsor-frontend/src/utils/orders.js                                   | JavaScript     |        129 |          0 |         22 |        151 |
| /home/samnang/Documents/apsor-frontend/tailwind.config.js                                    | JavaScript     |       -105 |         -1 |         -1 |       -107 |
| /home/samnang/Documents/apsor-frontend/vite.config.js                                        | JavaScript     |        -17 |         -1 |         -2 |        -20 |
| Total                                                                                        |                |         29 |          4 |        392 |        425 |
+----------------------------------------------------------------------------------------------+----------------+------------+------------+------------+------------+
