"filename", "language", "JavaScript", "JavaScript JSX", "PostCSS", "comment", "blank", "total"
"/home/samnang/Documents/apsor-frontend/src/data/defaultProviders.js", "JavaScript", 74, 0, 0, 0, 1, 75
"/home/samnang/Documents/apsor-frontend/src/data/defaultServices.js", "JavaScript", 406, 0, 0, 0, 1, 407
"/home/samnang/Documents/apsor-frontend/src/data/defaultSubcategories.js", "JavaScript", 242, 0, 0, 0, 1, 243
"/home/samnang/Documents/apsor-frontend/src/helper/tableColumn.jsx", "JavaScript JSX", 0, 324, 0, 0, 7, 331
"/home/samnang/Documents/apsor-frontend/src/hooks/useOrders.js", "JavaScript", 5, 0, 0, 0, 2, 7
"/home/samnang/Documents/apsor-frontend/src/hooks/useTheme.js", "JavaScript", 55, 0, 0, 0, 10, 65
"/home/samnang/Documents/apsor-frontend/src/i18n/dict.js", "JavaScript", 196, 0, 0, 0, 1, 197
"/home/samnang/Documents/apsor-frontend/src/i18n/useLang.js", "JavaScript", 35, 0, 0, 4, 7, 46
"/home/samnang/Documents/apsor-frontend/src/index.css", "PostCSS", 0, 0, 97, 0, 22, 119
"/home/samnang/Documents/apsor-frontend/src/layouts/RouteLayout.jsx", "JavaScript JSX", 0, 19, 0, 0, 2, 21
"/home/samnang/Documents/apsor-frontend/src/main.jsx", "JavaScript JSX", 0, 9, 0, 0, 2, 11
"/home/samnang/Documents/apsor-frontend/src/page/auth/ForgotPassword.jsx", "JavaScript JSX", 0, 128, 0, 0, 13, 141
"/home/samnang/Documents/apsor-frontend/src/page/auth/ForgotPasswordOtp.jsx", "JavaScript JSX", 0, 190, 0, 0, 21, 211
"/home/samnang/Documents/apsor-frontend/src/page/auth/ResetPassword.jsx", "JavaScript JSX", 0, 178, 0, 0, 16, 194
"/home/samnang/Documents/apsor-frontend/src/page/auth/SignIn.jsx", "JavaScript JSX", 0, 184, 0, 0, 21, 205
"/home/samnang/Documents/apsor-frontend/src/page/auth/SignUp.jsx", "JavaScript JSX", 0, 408, 0, 0, 39, 447
"/home/samnang/Documents/apsor-frontend/src/page/auth/authStorage.js", "JavaScript", 122, 0, 0, 0, 25, 147
"/home/samnang/Documents/apsor-frontend/src/page/auth/signInText.js", "JavaScript", 46, 0, 0, 0, 1, 47
"/home/samnang/Documents/apsor-frontend/src/page/auth/signInUtils.js", "JavaScript", 46, 0, 0, 0, 12, 58
"/home/samnang/Documents/apsor-frontend/src/page/category/CategoryDetailPage.jsx", "JavaScript JSX", 0, 141, 0, 0, 11, 152
"/home/samnang/Documents/apsor-frontend/src/page/home/HomePage.jsx", "JavaScript JSX", 0, 15, 0, 0, 3, 18
"/home/samnang/Documents/apsor-frontend/src/page/order/OrderDetailPage.jsx", "JavaScript JSX", 0, 259, 0, 0, 16, 275
"/home/samnang/Documents/apsor-frontend/src/page/order/OrdersPage.jsx", "JavaScript JSX", 0, 392, 0, 0, 28, 420
"/home/samnang/Documents/apsor-frontend/src/page/payment/PaymentPage.jsx", "JavaScript JSX", 0, 182, 0, 0, 19, 201
"/home/samnang/Documents/apsor-frontend/src/page/profile/ProfilePage.jsx", "JavaScript JSX", 0, 272, 0, 0, 28, 300
"/home/samnang/Documents/apsor-frontend/src/page/provider/BecomeProviderPage.jsx", "JavaScript JSX", 0, 512, 0, 0, 57, 569
"/home/samnang/Documents/apsor-frontend/src/page/provider/ProviderDetailPage.jsx", "JavaScript JSX", 0, 530, 0, 0, 44, 574
"/home/samnang/Documents/apsor-frontend/src/page/provider/ProviderServiceManagePage.jsx", "JavaScript JSX", 0, 364, 0, 0, 30, 394
"/home/samnang/Documents/apsor-frontend/src/page/search/SearchRelatedPage.jsx", "JavaScript JSX", 0, 320, 0, 0, 37, 357
"/home/samnang/Documents/apsor-frontend/src/page/service/EditServicePage.jsx", "JavaScript JSX", 0, 4, 0, 0, 2, 6
"/home/samnang/Documents/apsor-frontend/src/page/service/ServiceDetailPage.jsx", "JavaScript JSX", 0, 94, 0, 0, 15, 109
"/home/samnang/Documents/apsor-frontend/src/page/service/UploadServicePage.jsx", "JavaScript JSX", 0, 2096, 0, 0, 203, 2299
"/home/samnang/Documents/apsor-frontend/src/store/useCategoryStore.js", "JavaScript", 54, 0, 0, 0, 10, 64
"/home/samnang/Documents/apsor-frontend/src/utils/assets.js", "JavaScript", 26, 0, 0, 0, 8, 34
"/home/samnang/Documents/apsor-frontend/src/utils/orders.js", "JavaScript", 129, 0, 0, 0, 22, 151
"/home/samnang/Documents/apsor-frontend/src/utils/pricing.js", "JavaScript", 44, 0, 0, 0, 6, 50
"/home/samnang/Documents/apsor-frontend/src/utils/provider.js", "JavaScript", 24, 0, 0, 1, 8, 33
"/home/samnang/Documents/apsor-frontend/src/utils/service.js", "JavaScript", 69, 0, 0, 0, 12, 81
"Total", "-", 2200, 11344, 102, 27, 1324, 14997
