"filename", "language", "JavaScript", "JavaScript JSX", "PostCSS", "JSON", "Markdown", "HTML", "comment", "blank", "total"
"/home/samnang/Documents/apsor-frontend/src/page/auth/ResetPassword.jsx", "JavaScript JSX", 0, 178, 0, 0, 0, 0, 0, 16, 194
"/home/samnang/Documents/apsor-frontend/src/page/auth/SignIn.jsx", "JavaScript JSX", 0, 184, 0, 0, 0, 0, 0, 21, 205
"/home/samnang/Documents/apsor-frontend/src/page/auth/SignUp.jsx", "JavaScript JSX", 0, 408, 0, 0, 0, 0, 0, 39, 447
"/home/samnang/Documents/apsor-frontend/src/page/auth/authStorage.js", "JavaScript", 122, 0, 0, 0, 0, 0, 0, 25, 147
"/home/samnang/Documents/apsor-frontend/src/page/auth/signInText.js", "JavaScript", 46, 0, 0, 0, 0, 0, 0, 1, 47
"/home/samnang/Documents/apsor-frontend/src/page/auth/signInUtils.js", "JavaScript", 46, 0, 0, 0, 0, 0, 0, 12, 58
"/home/samnang/Documents/apsor-frontend/src/page/category/CategoryDetailPage.jsx", "JavaScript JSX", 0, 141, 0, 0, 0, 0, 0, 11, 152
"/home/samnang/Documents/apsor-frontend/src/page/home/HomePage.jsx", "JavaScript JSX", 0, 15, 0, 0, 0, 0, 0, 3, 18
"/home/samnang/Documents/apsor-frontend/src/page/order/OrderDetailPage.jsx", "JavaScript JSX", 0, 259, 0, 0, 0, 0, 0, 16, 275
"/home/samnang/Documents/apsor-frontend/src/page/order/OrdersPage.jsx", "JavaScript JSX", 0, 392, 0, 0, 0, 0, 0, 28, 420
"/home/samnang/Documents/apsor-frontend/src/page/payment/PaymentPage.jsx", "JavaScript JSX", 0, 182, 0, 0, 0, 0, 0, 19, 201
"/home/samnang/Documents/apsor-frontend/src/page/profile/ProfilePage.jsx", "JavaScript JSX", 0, 272, 0, 0, 0, 0, 0, 28, 300
"/home/samnang/Documents/apsor-frontend/src/page/provider/BecomeProviderPage.jsx", "JavaScript JSX", 0, 512, 0, 0, 0, 0, 0, 57, 569
"/home/samnang/Documents/apsor-frontend/src/page/provider/ProviderDetailPage.jsx", "JavaScript JSX", 0, 530, 0, 0, 0, 0, 0, 44, 574
"/home/samnang/Documents/apsor-frontend/src/page/provider/ProviderServiceManagePage.jsx", "JavaScript JSX", 0, 364, 0, 0, 0, 0, 0, 30, 394
"/home/samnang/Documents/apsor-frontend/src/page/search/SearchRelatedPage.jsx", "JavaScript JSX", 0, 320, 0, 0, 0, 0, 0, 37, 357
"/home/samnang/Documents/apsor-frontend/src/page/service/EditServicePage.jsx", "JavaScript JSX", 0, 4, 0, 0, 0, 0, 0, 2, 6
"/home/samnang/Documents/apsor-frontend/src/page/service/ServiceDetailPage.jsx", "JavaScript JSX", 0, 94, 0, 0, 0, 0, 0, 15, 109
"/home/samnang/Documents/apsor-frontend/src/page/service/UploadServicePage.jsx", "JavaScript JSX", 0, 2096, 0, 0, 0, 0, 0, 203, 2299
"/home/samnang/Documents/apsor-frontend/src/profile/ProfilePage.jsx", "JavaScript JSX", 0, -260, 0, 0, 0, 0, 0, -25, -285
"/home/samnang/Documents/apsor-frontend/src/provider/BecomeProviderPage.jsx", "JavaScript JSX", 0, -512, 0, 0, 0, 0, 0, -57, -569
"/home/samnang/Documents/apsor-frontend/src/provider/ProviderDetailPage.jsx", "JavaScript JSX", 0, -530, 0, 0, 0, 0, 0, -44, -574
"/home/samnang/Documents/apsor-frontend/src/provider/ProviderServiceManagePage.jsx", "JavaScript JSX", 0, -364, 0, 0, 0, 0, 0, -30, -394
"/home/samnang/Documents/apsor-frontend/src/search/SearchRelatedPage.jsx", "JavaScript JSX", 0, -320, 0, 0, 0, 0, 0, -37, -357
"/home/samnang/Documents/apsor-frontend/src/service/EditServicePage.jsx", "JavaScript JSX", 0, -4, 0, 0, 0, 0, 0, -2, -6
"/home/samnang/Documents/apsor-frontend/src/service/ServiceDetailPage.jsx", "JavaScript JSX", 0, -94, 0, 0, 0, 0, 0, -15, -109
"/home/samnang/Documents/apsor-frontend/src/service/UploadServicePage.jsx", "JavaScript JSX", 0, -2098, 0, 0, 0, 0, 0, -203, -2301
"/home/samnang/Documents/apsor-frontend/src/store/useCategoryStore.js", "JavaScript", 54, 0, 0, 0, 0, 0, 0, 10, 64
"/home/samnang/Documents/apsor-frontend/src/utils/assets.js", "JavaScript", 26, 0, 0, 0, 0, 0, 0, 8, 34
"/home/samnang/Documents/apsor-frontend/src/utils/orders.js", "JavaScript", 129, 0, 0, 0, 0, 0, 0, 22, 151
"/home/samnang/Documents/apsor-frontend/tailwind.config.js", "JavaScript", -105, 0, 0, 0, 0, 0, -1, -1, -107
"/home/samnang/Documents/apsor-frontend/vite.config.js", "JavaScript", -17, 0, 0, 0, 0, 0, -1, -2, -20
"Total", "-", 773, 2790, 27, -3529, -19, -13, 4, 392, 425
