"filename", "language", "JSON", "Markdown", "JavaScript", "HTML", "JavaScript JSX", "PostCSS", "comment", "blank", "total"
"/home/samnang/Documents/apsor-frontend/src/hooks/useTheme.js", "JavaScript", 0, 0, 55, 0, 0, 0, 0, 10, 65
"/home/samnang/Documents/apsor-frontend/src/i18n/dict.js", "JavaScript", 0, 0, 196, 0, 0, 0, 0, 1, 197
"/home/samnang/Documents/apsor-frontend/src/i18n/useLang.js", "JavaScript", 0, 0, 35, 0, 0, 0, 4, 7, 46
"/home/samnang/Documents/apsor-frontend/src/index.css", "PostCSS", 0, 0, 0, 0, 0, 70, 0, 18, 88
"/home/samnang/Documents/apsor-frontend/src/layouts/RouteLayout.jsx", "JavaScript JSX", 0, 0, 0, 0, 15, 0, 0, 2, 17
"/home/samnang/Documents/apsor-frontend/src/main.jsx", "JavaScript JSX", 0, 0, 0, 0, 9, 0, 0, 2, 11
"/home/samnang/Documents/apsor-frontend/src/order/OrderDetailPage.jsx", "JavaScript JSX", 0, 0, 0, 0, 237, 0, 0, 16, 253
"/home/samnang/Documents/apsor-frontend/src/order/OrdersPage.jsx", "JavaScript JSX", 0, 0, 0, 0, 378, 0, 0, 27, 405
"/home/samnang/Documents/apsor-frontend/src/profile/ProfilePage.jsx", "JavaScript JSX", 0, 0, 0, 0, 260, 0, 0, 25, 285
"/home/samnang/Documents/apsor-frontend/src/provider/BecomeProviderPage.jsx", "JavaScript JSX", 0, 0, 0, 0, 512, 0, 0, 57, 569
"/home/samnang/Documents/apsor-frontend/src/provider/ProviderDetailPage.jsx", "JavaScript JSX", 0, 0, 0, 0, 530, 0, 0, 44, 574
"/home/samnang/Documents/apsor-frontend/src/provider/ProviderServiceManagePage.jsx", "JavaScript JSX", 0, 0, 0, 0, 364, 0, 0, 30, 394
"/home/samnang/Documents/apsor-frontend/src/search/SearchRelatedPage.jsx", "JavaScript JSX", 0, 0, 0, 0, 320, 0, 0, 37, 357
"/home/samnang/Documents/apsor-frontend/src/service/EditServicePage.jsx", "JavaScript JSX", 0, 0, 0, 0, 4, 0, 0, 2, 6
"/home/samnang/Documents/apsor-frontend/src/service/ServiceDetailPage.jsx", "JavaScript JSX", 0, 0, 0, 0, 94, 0, 0, 15, 109
"/home/samnang/Documents/apsor-frontend/src/service/UploadServicePage.jsx", "JavaScript JSX", 0, 0, 0, 0, 2098, 0, 0, 203, 2301
"/home/samnang/Documents/apsor-frontend/src/utils/pricing.js", "JavaScript", 0, 0, 44, 0, 0, 0, 0, 6, 50
"/home/samnang/Documents/apsor-frontend/src/utils/provider.js", "JavaScript", 0, 0, 24, 0, 0, 0, 1, 8, 33
"/home/samnang/Documents/apsor-frontend/src/utils/service.js", "JavaScript", 0, 0, 69, 0, 0, 0, 0, 12, 81
"/home/samnang/Documents/apsor-frontend/tailwind.config.js", "JavaScript", 0, 0, 105, 0, 0, 0, 1, 1, 107
"/home/samnang/Documents/apsor-frontend/vite.config.js", "JavaScript", 0, 0, 17, 0, 0, 0, 1, 2, 20
"Total", "-", 3529, 19, 1427, 13, 8554, 75, 23, 932, 14572
