"filename", "language", "JavaScript", "PostCSS", "JavaScript JSX", "comment", "blank", "total"
"/home/samnang/Documents/apsor-frontend/src/components/services/ServiceDetailSkeleton.jsx", "JavaScript JSX", 0, 0, 59, 0, 9, 68
"/home/samnang/Documents/apsor-frontend/src/components/services/ServiceGallery.jsx", "JavaScript JSX", 0, 0, 180, 0, 22, 202
"/home/samnang/Documents/apsor-frontend/src/components/services/ServiceListCard.jsx", "JavaScript JSX", 0, 0, 165, 0, 20, 185
"/home/samnang/Documents/apsor-frontend/src/components/services/ServiceLocationMap.jsx", "JavaScript JSX", 0, 0, 44, 0, 6, 50
"/home/samnang/Documents/apsor-frontend/src/components/services/ServicePriceList.jsx", "JavaScript JSX", 0, 0, 140, 0, 18, 158
"/home/samnang/Documents/apsor-frontend/src/components/services/ServiceProviderInfo.jsx", "JavaScript JSX", 0, 0, 308, 0, 44, 352
"/home/samnang/Documents/apsor-frontend/src/components/services/ServiceRecommendations.jsx", "JavaScript JSX", 0, 0, 52, 0, 7, 59
"/home/samnang/Documents/apsor-frontend/src/components/services/ServiceSummary.jsx", "JavaScript JSX", 0, 0, 12, 0, 1, 13
"/home/samnang/Documents/apsor-frontend/src/components/services/upload/UploadField.jsx", "JavaScript JSX", 0, 0, 15, 0, 2, 17
"/home/samnang/Documents/apsor-frontend/src/components/services/upload/UploadInfoTile.jsx", "JavaScript JSX", 0, 0, 15, 0, 1, 16
"/home/samnang/Documents/apsor-frontend/src/components/services/upload/UploadStepCard.jsx", "JavaScript JSX", 0, 0, 21, 0, 2, 23
"/home/samnang/Documents/apsor-frontend/src/components/services/upload/UploadToggleButton.jsx", "JavaScript JSX", 0, 0, 30, 0, 4, 34
"/home/samnang/Documents/apsor-frontend/src/components/shared/Breadcrumb.jsx", "JavaScript JSX", 0, 0, 84, 0, 14, 98
"/home/samnang/Documents/apsor-frontend/src/components/shared/Category.jsx", "JavaScript JSX", 0, 0, 94, 0, 8, 102
"/home/samnang/Documents/apsor-frontend/src/components/shared/Footer.jsx", "JavaScript JSX", 0, 0, 51, 0, 6, 57
"/home/samnang/Documents/apsor-frontend/src/components/shared/Header.jsx", "JavaScript JSX", 0, 0, 492, 15, 42, 549
"/home/samnang/Documents/apsor-frontend/src/components/shared/HeroSwiper.jsx", "JavaScript JSX", 0, 0, 176, 7, 16, 199
"/home/samnang/Documents/apsor-frontend/src/components/shared/InputField.jsx", "JavaScript JSX", 0, 0, 234, 0, 20, 254
"/home/samnang/Documents/apsor-frontend/src/components/shared/Modal.jsx", "JavaScript JSX", 0, 0, 95, 0, 12, 107
"/home/samnang/Documents/apsor-frontend/src/components/shared/NearestService.jsx", "JavaScript JSX", 0, 0, 120, 0, 12, 132
"/home/samnang/Documents/apsor-frontend/src/components/shared/Search.jsx", "JavaScript JSX", 0, 0, 204, 1, 30, 235
"/home/samnang/Documents/apsor-frontend/src/components/shared/ServiceList.jsx", "JavaScript JSX", 0, 0, 96, 0, 7, 103
"/home/samnang/Documents/apsor-frontend/src/data/defaultCategories.js", "JavaScript", 66, 0, 0, 0, 1, 67
"/home/samnang/Documents/apsor-frontend/src/data/defaultOrders.js", "JavaScript", 66, 0, 0, 0, 1, 67
"/home/samnang/Documents/apsor-frontend/src/data/defaultProviders.js", "JavaScript", 74, 0, 0, 0, 1, 75
"/home/samnang/Documents/apsor-frontend/src/data/defaultServices.js", "JavaScript", 406, 0, 0, 0, 1, 407
"/home/samnang/Documents/apsor-frontend/src/data/defaultSubcategories.js", "JavaScript", 242, 0, 0, 0, 1, 243
"/home/samnang/Documents/apsor-frontend/src/helper/tableColumn.jsx", "JavaScript JSX", 0, 0, 1443, 0, 38, 1481
"/home/samnang/Documents/apsor-frontend/src/hooks/useOrders.js", "JavaScript", 38, 0, 0, 0, 11, 49
"/home/samnang/Documents/apsor-frontend/src/hooks/useTheme.js", "JavaScript", 55, 0, 0, 0, 10, 65
"/home/samnang/Documents/apsor-frontend/src/i18n/dict.js", "JavaScript", 196, 0, 0, 0, 1, 197
"/home/samnang/Documents/apsor-frontend/src/i18n/useLang.js", "JavaScript", 35, 0, 0, 4, 7, 46
"/home/samnang/Documents/apsor-frontend/src/index.css", "PostCSS", 0, 97, 0, 0, 22, 119
"/home/samnang/Documents/apsor-frontend/src/layouts/RouteLayout.jsx", "JavaScript JSX", 0, 0, 19, 0, 2, 21
"/home/samnang/Documents/apsor-frontend/src/main.jsx", "JavaScript JSX", 0, 0, 9, 0, 2, 11
"/home/samnang/Documents/apsor-frontend/src/page/auth/ForgotPassword.jsx", "JavaScript JSX", 0, 0, 126, 0, 13, 139
"/home/samnang/Documents/apsor-frontend/src/page/auth/ForgotPasswordOtp.jsx", "JavaScript JSX", 0, 0, 190, 0, 21, 211
"/home/samnang/Documents/apsor-frontend/src/page/auth/ResetPassword.jsx", "JavaScript JSX", 0, 0, 178, 0, 16, 194
"/home/samnang/Documents/apsor-frontend/src/page/auth/SignIn.jsx", "JavaScript JSX", 0, 0, 184, 0, 21, 205
"/home/samnang/Documents/apsor-frontend/src/page/auth/SignUp.jsx", "JavaScript JSX", 0, 0, 408, 0, 39, 447
"/home/samnang/Documents/apsor-frontend/src/page/auth/authStorage.js", "JavaScript", 165, 0, 0, 0, 35, 200
"/home/samnang/Documents/apsor-frontend/src/page/auth/signInText.js", "JavaScript", 46, 0, 0, 0, 1, 47
"/home/samnang/Documents/apsor-frontend/src/page/auth/signInUtils.js", "JavaScript", 55, 0, 0, 0, 15, 70
"/home/samnang/Documents/apsor-frontend/src/page/category/CategoriesPage.jsx", "JavaScript JSX", 0, 0, 96, 0, 10, 106
"/home/samnang/Documents/apsor-frontend/src/page/category/CategoryDetailPage.jsx", "JavaScript JSX", 0, 0, 141, 0, 11, 152
"/home/samnang/Documents/apsor-frontend/src/page/category/SubcategoryDetailPage.jsx", "JavaScript JSX", 0, 0, 288, 0, 29, 317
"/home/samnang/Documents/apsor-frontend/src/page/home/HomePage.jsx", "JavaScript JSX", 0, 0, 51, 0, 10, 61
"/home/samnang/Documents/apsor-frontend/src/page/order/OrderDetailPage.jsx", "JavaScript JSX", 0, 0, 257, 0, 21, 278
"/home/samnang/Documents/apsor-frontend/src/page/order/OrdersPage.jsx", "JavaScript JSX", 0, 0, 181, 0, 12, 193
"/home/samnang/Documents/apsor-frontend/src/page/payment/PaymentPage.jsx", "JavaScript JSX", 0, 0, 487, 0, 45, 532
