"filename", "language", "PostCSS", "JavaScript", "JavaScript JSX", "comment", "blank", "total"
"/home/samnang/Documents/apsor-frontend/src/components/services/ServicePriceList.jsx", "JavaScript JSX", 0, 0, 140, 0, 18, 158
"/home/samnang/Documents/apsor-frontend/src/components/services/ServiceProviderInfo.jsx", "JavaScript JSX", 0, 0, 254, 0, 29, 283
"/home/samnang/Documents/apsor-frontend/src/components/services/ServiceRecommendations.jsx", "JavaScript JSX", 0, 0, 52, 0, 7, 59
"/home/samnang/Documents/apsor-frontend/src/components/services/ServiceSummary.jsx", "JavaScript JSX", 0, 0, 12, 0, 1, 13
"/home/samnang/Documents/apsor-frontend/src/components/services/upload/UploadField.jsx", "JavaScript JSX", 0, 0, 15, 0, 2, 17
"/home/samnang/Documents/apsor-frontend/src/components/services/upload/UploadInfoTile.jsx", "JavaScript JSX", 0, 0, 15, 0, 1, 16
"/home/samnang/Documents/apsor-frontend/src/components/services/upload/UploadStepCard.jsx", "JavaScript JSX", 0, 0, 21, 0, 2, 23
"/home/samnang/Documents/apsor-frontend/src/components/services/upload/UploadToggleButton.jsx", "JavaScript JSX", 0, 0, 30, 0, 4, 34
"/home/samnang/Documents/apsor-frontend/src/components/shared/Breadcrumb.jsx", "JavaScript JSX", 0, 0, 84, 0, 14, 98
"/home/samnang/Documents/apsor-frontend/src/components/shared/Category.jsx", "JavaScript JSX", 0, 0, 94, 0, 8, 102
"/home/samnang/Documents/apsor-frontend/src/components/shared/Footer.jsx", "JavaScript JSX", 0, 0, 51, 0, 6, 57
"/home/samnang/Documents/apsor-frontend/src/components/shared/Header.jsx", "JavaScript JSX", 0, 0, 366, 7, 29, 402
"/home/samnang/Documents/apsor-frontend/src/components/shared/HeroSwiper.jsx", "JavaScript JSX", 0, 0, 176, 7, 16, 199
"/home/samnang/Documents/apsor-frontend/src/components/shared/InputField.jsx", "JavaScript JSX", 0, 0, 234, 0, 20, 254
"/home/samnang/Documents/apsor-frontend/src/components/shared/Modal.jsx", "JavaScript JSX", 0, 0, 95, 0, 12, 107
"/home/samnang/Documents/apsor-frontend/src/components/shared/NearestService.jsx", "JavaScript JSX", 0, 0, 120, 0, 12, 132
"/home/samnang/Documents/apsor-frontend/src/components/shared/Search.jsx", "JavaScript JSX", 0, 0, 171, 1, 23, 195
"/home/samnang/Documents/apsor-frontend/src/components/shared/ServiceList.jsx", "JavaScript JSX", 0, 0, 96, 0, 7, 103
"/home/samnang/Documents/apsor-frontend/src/data/defaultCategories.js", "JavaScript", 0, 66, 0, 0, 1, 67
