Date : 2026-03-18 17:02:23
Directory : /home/samnang/Documents/apsor-frontend/src
Total : 103 files,  17645 codes, 30 comments, 1748 blanks, all 19423 lines

Languages
+----------------+------------+------------+------------+------------+------------+
| language       | files      | code       | comment    | blank      | total      |
| /home/samnang/Documents/apsor-frontend/src/admin/pages/AdminSubcategoriesPage.jsx            | JavaScript JSX |        249 |          0 |         26 |        275 |
| /home/samnang/Documents/apsor-frontend/src/admin/pages/AdminUsersPage.jsx                    | JavaScript JSX |        303 |          0 |         24 |        327 |
| /home/samnang/Documents/apsor-frontend/src/admin/protected/AdminProtectedRoute.jsx           | JavaScript JSX |         19 |          0 |          6 |         25 |
| /home/samnang/Documents/apsor-frontend/src/admin/utils/adminCategoryPage.js                  | JavaScript     |         78 |          0 |         16 |         94 |
| /home/samnang/Documents/apsor-frontend/src/admin/utils/adminCustomerPage.js                  | JavaScript     |          1 |          0 |          2 |          3 |
| /home/samnang/Documents/apsor-frontend/src/admin/utils/adminDashboardPage.js                 | JavaScript     |         63 |          0 |          3 |         66 |
| /home/samnang/Documents/apsor-frontend/src/admin/utils/adminServicePage.js                   | JavaScript     |         41 |          0 |          4 |         45 |
| /home/samnang/Documents/apsor-frontend/src/admin/utils/adminSubcategoryPage.js               | JavaScript     |         45 |          0 |          4 |         49 |
| /home/samnang/Documents/apsor-frontend/src/admin/utils/adminUserPage.js                      | JavaScript     |        211 |          0 |          8 |        219 |
| /home/samnang/Documents/apsor-frontend/src/admin/utils/categoryAdmin.js                      | JavaScript     |        124 |          0 |          7 |        131 |
| /home/samnang/Documents/apsor-frontend/src/api/api.js                                        | JavaScript     |         17 |          0 |          6 |         23 |
| /home/samnang/Documents/apsor-frontend/src/api/index.js                                      | JavaScript     |        527 |          3 |         96 |        626 |
| /home/samnang/Documents/apsor-frontend/src/components/auth/AuthInput.jsx                     | JavaScript JSX |        130 |          0 |         11 |        141 |
| /home/samnang/Documents/apsor-frontend/src/components/auth/AuthStepProgress.jsx              | JavaScript JSX |         55 |          0 |          3 |         58 |
| /home/samnang/Documents/apsor-frontend/src/components/categories/CategoryCard.jsx            | JavaScript JSX |         47 |          0 |          5 |         52 |
| /home/samnang/Documents/apsor-frontend/src/components/categories/CategoryDetailSkeleton.jsx  | JavaScript JSX |         56 |          0 |          6 |         62 |
| /home/samnang/Documents/apsor-frontend/src/components/categories/CategorySectionSkeleton.jsx | JavaScript JSX |         25 |          0 |          2 |         27 |
| /home/samnang/Documents/apsor-frontend/src/components/provider/ProviderHeroStats.jsx         | JavaScript JSX |         25 |          0 |          2 |         27 |
| /home/samnang/Documents/apsor-frontend/src/components/services/ServiceDetailSkeleton.jsx     | JavaScript JSX |         59 |          0 |          9 |         68 |
| /home/samnang/Documents/apsor-frontend/src/components/services/ServiceGallery.jsx            | JavaScript JSX |        180 |          0 |         22 |        202 |
| /home/samnang/Documents/apsor-frontend/src/components/services/ServiceListCard.jsx           | JavaScript JSX |        165 |          0 |         20 |        185 |
| /home/samnang/Documents/apsor-frontend/src/components/services/ServiceLocationMap.jsx        | JavaScript JSX |         44 |          0 |          6 |         50 |
| /home/samnang/Documents/apsor-frontend/src/components/services/ServicePriceList.jsx          | JavaScript JSX |        140 |          0 |         18 |        158 |
| /home/samnang/Documents/apsor-frontend/src/components/services/ServiceProviderInfo.jsx       | JavaScript JSX |        254 |          0 |         29 |        283 |
| /home/samnang/Documents/apsor-frontend/src/components/services/ServiceRecommendations.jsx    | JavaScript JSX |         52 |          0 |          7 |         59 |
| /home/samnang/Documents/apsor-frontend/src/components/services/ServiceSummary.jsx            | JavaScript JSX |         12 |          0 |          1 |         13 |
| /home/samnang/Documents/apsor-frontend/src/components/services/upload/UploadField.jsx        | JavaScript JSX |         15 |          0 |          2 |         17 |
